player_name,Pos,Age,Tm,Salary,G,GS,MP,FG,FGA,FGp,x3P,x3PA,x3Pp,x2P,x2PA,x2Pp,eFGp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSpm,FTpm,BLKpm,ASTpm,STLpm,TOVpm,x3Ppm,PPG,APG,RPG
Jayson Tatum,SF,20,BOS,6700800,79,79,2455,466,1036,0.45,116,311,0.373,350,725,0.483,0.506,195,228,0.855,70,407,477,168,84,57,122,168,1243,0.506,0.079,0.023,0.068,0.034,0.05,0.047,15.734,2.127,6.038
Justin Anderson,SF,25,ATL,2516047,48,4,463,64,157,0.408,24,77,0.312,40,80,0.5,0.484,26,35,0.743,24,60,84,23,22,13,23,48,178,0.384,0.056,0.028,0.05,0.048,0.05,0.052,3.708,0.479,1.75
Justin Jackson,SF,23,TOT,2807880,81,14,1614,217,485,0.447,87,245,0.355,130,240,0.542,0.537,62,79,0.785,44,168,212,96,32,14,29,99,583,0.361,0.038,0.009,0.059,0.02,0.018,0.054,7.198,1.185,2.617
Justise Winslow,SF,22,MIA,3448926,66,52,1959,324,749,0.433,96,256,0.375,228,493,0.462,0.497,86,137,0.628,63,292,355,282,72,19,142,177,830,0.424,0.044,0.01,0.144,0.037,0.072,0.049,12.576,4.273,5.379
Kawhi Leonard,SF,27,TOR,23114066,60,60,2040,560,1129,0.496,112,302,0.371,448,827,0.542,0.546,364,426,0.854,78,361,439,199,106,24,121,87,1596,0.782,0.178,0.012,0.098,0.052,0.059,0.055,26.6,3.317,7.317
Keita Bates-Diop,SF,23,MIN,838464,30,3,503,60,142,0.423,13,52,0.25,47,90,0.522,0.468,18,28,0.643,16,67,83,17,18,14,14,29,151,0.3,0.036,0.028,0.034,0.036,0.028,0.026,5.033,0.567,2.767
Kelly Oubre,SF,23,TOT,3208630,69,19,1935,375,842,0.445,108,338,0.32,267,504,0.53,0.51,189,244,0.775,71,254,325,84,84,59,103,181,1047,0.541,0.098,0.03,0.043,0.043,0.053,0.056,15.174,1.217,4.71
Kenrich Williams,SF,24,NOP,838464,46,29,1079,107,279,0.384,52,156,0.333,55,123,0.447,0.477,13,19,0.684,55,164,219,83,45,19,36,95,279,0.259,0.012,0.018,0.077,0.042,0.033,0.048,6.065,1.804,4.761
Kevin Durant,SF,30,GSW,30000000,78,78,2702,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027,0.75,0.166,0.031,0.169,0.021,0.083,0.051,25.987,5.859,6.372
Khris Middleton,SF,27,MIL,13000000,77,77,2393,506,1148,0.441,179,474,0.378,327,674,0.485,0.519,216,258,0.837,50,411,461,331,80,7,174,172,1407,0.588,0.09,0.003,0.138,0.033,0.073,0.075,18.273,4.299,5.987
Kyle Anderson,SF,25,MEM,8641000,43,40,1281,150,276,0.543,9,34,0.265,141,242,0.583,0.56,37,64,0.578,48,203,251,128,54,37,58,112,346,0.27,0.029,0.029,0.1,0.042,0.045,0.007,8.047,2.977,5.837
LeBron James,SF,34,LAL,35654150,55,55,1937,558,1095,0.51,111,327,0.339,447,768,0.582,0.56,278,418,0.665,57,408,465,454,72,33,197,94,1505,0.777,0.144,0.017,0.234,0.037,0.102,0.057,27.364,8.255,8.455
Luol Deng,SF,33,MIN,16747954,22,2,392,59,118,0.5,14,44,0.318,45,74,0.608,0.559,25,35,0.714,20,53,73,18,15,8,14,24,157,0.401,0.064,0.02,0.046,0.038,0.036,0.036,7.136,0.818,3.318
Mario Hezonja,SF,23,NYK,6500000,58,24,1206,191,464,0.412,42,152,0.276,149,312,0.478,0.457,87,114,0.763,28,211,239,88,57,8,88,110,511,0.424,0.072,0.007,0.073,0.047,0.073,0.035,8.81,1.517,4.121
Mikal Bridges,SF,22,PHO,3557400,82,56,2417,242,563,0.43,105,313,0.335,137,250,0.548,0.523,95,118,0.805,56,208,264,173,129,38,70,201,684,0.283,0.039,0.016,0.072,0.053,0.029,0.043,8.341,2.11,3.22
Miles Bridges,SF,20,CHO,3206640,80,25,1696,237,511,0.464,65,200,0.325,172,311,0.553,0.527,58,77,0.753,67,256,323,95,55,49,50,111,597,0.352,0.034,0.029,0.056,0.032,0.029,0.038,7.463,1.188,4.037
Nicolas Batum,SF,30,CHO,24000000,75,72,2354,253,562,0.45,116,298,0.389,137,264,0.519,0.553,77,89,0.865,71,319,390,247,71,43,117,140,699,0.297,0.033,0.018,0.105,0.03,0.05,0.049,9.32,3.293,5.2
OG Anunoby,SF,21,TOR,1952760,67,6,1352,183,404,0.453,67,202,0.332,116,202,0.574,0.536,36,62,0.581,58,139,197,47,46,22,55,140,469,0.347,0.027,0.016,0.035,0.034,0.041,0.05,7,0.701,2.94
Omri Casspi,SF,30,MEM,2176260,36,0,520,86,161,0.534,15,43,0.349,71,118,0.602,0.581,39,58,0.672,17,98,115,26,20,9,23,35,226,0.435,0.075,0.017,0.05,0.038,0.044,0.029,6.278,0.722,3.194
Otto Porter,SF,25,TOT,26011913,56,43,1683,299,643,0.465,104,256,0.406,195,387,0.504,0.546,78,96,0.813,54,260,314,120,82,31,65,108,780,0.463,0.046,0.018,0.071,0.049,0.039,0.062,13.929,2.143,5.607
Paul George,SF,28,OKC,30560700,77,77,2841,707,1614,0.438,292,757,0.386,415,857,0.484,0.529,453,540,0.839,105,523,628,318,170,34,205,214,2159,0.76,0.159,0.012,0.112,0.06,0.072,0.103,28.039,4.13,8.156
Quincy Pondexter,SF,30,SAS,2165481,53,0,292,29,58,0.5,6,18,0.333,23,40,0.575,0.552,34,42,0.81,8,38,46,24,11,1,13,24,98,0.336,0.116,0.003,0.082,0.038,0.045,0.021,1.849,0.453,0.868
Robert Covington,SF,28,TOT,10464092,35,35,1203,156,362,0.431,85,225,0.378,71,137,0.518,0.548,68,89,0.764,28,165,193,46,74,47,47,126,465,0.387,0.057,0.039,0.038,0.062,0.039,0.071,13.286,1.314,5.514
Rodions Kurucs,SF,20,BRK,1690000,63,46,1294,202,449,0.45,58,184,0.315,144,265,0.543,0.514,72,92,0.783,56,190,246,52,41,25,77,146,534,0.413,0.056,0.019,0.04,0.032,0.06,0.045,8.476,0.825,3.905
Rondae Hollis-Jefferson,SF,24,BRK,2470356,59,21,1234,200,487,0.411,9,49,0.184,191,438,0.436,0.42,118,183,0.645,83,227,310,96,44,27,68,107,527,0.427,0.096,0.022,0.078,0.036,0.055,0.007,8.932,1.627,5.254
Royce O'Neale,SF,25,UTA,1378242,82,16,1671,163,343,0.475,68,176,0.386,95,167,0.569,0.574,32,42,0.762,22,263,285,124,54,24,70,172,426,0.255,0.019,0.014,0.074,0.032,0.042,0.041,5.195,1.512,3.476
Solomon Hill,SF,27,NOP,12763467,44,15,878,68,178,0.382,32,101,0.317,36,77,0.468,0.472,23,32,0.719,34,99,133,55,23,10,31,80,191,0.218,0.026,0.011,0.063,0.026,0.035,0.036,4.341,1.25,3.023
Stanley Johnson,SF,22,TOT,3940401,66,7,1208,171,440,0.389,62,215,0.288,109,225,0.484,0.459,50,64,0.781,34,183,217,88,60,14,81,114,454,0.376,0.041,0.012,0.073,0.05,0.067,0.051,6.879,1.333,3.288
Sviatoslav Mykhailiuk,SF,21,TOT,1487694,42,0,440,46,140,0.329,29,89,0.326,17,51,0.333,0.432,12,20,0.6,9,27,36,37,14,1,21,25,133,0.302,0.027,0.002,0.084,0.032,0.048,0.066,3.167,0.881,0.857
Thabo Sefolosha,SF,34,UTA,5250000,50,2,609,71,149,0.477,34,78,0.436,37,71,0.521,0.591,14,22,0.636,8,115,123,27,43,5,25,41,190,0.312,0.023,0.008,0.044,0.071,0.041,0.056,3.8,0.54,2.46
Tony Snell,SF,27,MIL,10607143,74,12,1304,163,361,0.452,81,204,0.397,82,157,0.522,0.564,37,42,0.881,29,128,157,68,26,18,23,90,444,0.34,0.028,0.014,0.052,0.02,0.018,0.062,6,0.919,2.122
Torrey Craig,SF,28,DEN,2000000,75,37,1503,160,362,0.442,61,188,0.324,99,174,0.569,0.526,49,70,0.7,89,174,263,72,37,46,44,175,430,0.286,0.033,0.031,0.048,0.025,0.029,0.041,5.733,0.96,3.507
Trevor Ariza,SF,33,TOT,15000000,69,69,2349,294,736,0.399,145,434,0.334,149,302,0.493,0.498,130,164,0.793,50,321,371,252,91,21,106,130,863,0.367,0.055,0.009,0.107,0.039,0.045,0.062,12.507,3.652,5.377
Troy Brown,SF,19,WAS,2752680,52,10,730,97,234,0.415,22,69,0.319,75,165,0.455,0.462,32,47,0.681,35,110,145,80,21,5,30,56,248,0.34,0.044,0.007,0.11,0.029,0.041,0.03,4.769,1.538,2.788
Troy Williams,SF,24,SAC,77250,21,0,312,44,98,0.449,14,44,0.318,30,54,0.556,0.52,9,15,0.6,12,47,59,11,10,8,9,37,111,0.356,0.029,0.026,0.035,0.032,0.029,0.045,5.286,0.524,2.81
Wesley Iwundu,SF,24,ORL,1378242,68,13,1233,113,274,0.412,29,79,0.367,84,195,0.431,0.465,84,103,0.816,37,147,184,73,28,22,44,123,339,0.275,0.068,0.018,0.059,0.023,0.036,0.024,4.985,1.074,2.706
Wesley Johnson,SF,31,TOT,6134000,38,13,534,45,128,0.352,25,76,0.329,20,52,0.385,0.449,13,19,0.684,12,60,72,23,14,12,18,63,128,0.24,0.024,0.022,0.043,0.026,0.034,0.047,3.368,0.605,1.895
